ArtistName,album,album_id,artist_id,track,track_id
Chappell Roan,"Good Luck, Babe!",1WAjjRMfZjEXtB0lQrAw6Q,7GlBOeep6PqTfFi59PTUUN,"Good Luck, Babe!",0WbMK4wrZ1wFSty9F7FCgu
Travis Scott,UTOPIA,18NOKLkZETa4sWwLMIm0UZ,0Y5tJX1MQlPlqiwlOH1tJY,FE!N (feat. Playboi Carti),42VsgItocQwOQC3XWZ8JNA
Playboi Carti,UTOPIA,18NOKLkZETa4sWwLMIm0UZ,699OTQXzgjhIYAHMy9RyPD,FE!N (feat. Playboi Carti),42VsgItocQwOQC3XWZ8JNA
Taylor Swift,THE TORTURED POETS DEPARTMENT,1Mo4aZ8pdj6L1jx8zSwJnt,06HL4z0CvFAxyc27GXpf02,Down Bad,2F3N9tdombb64aW6VtZOdo
Noah Kahan,Stick Season,50ZenUP4O2Q5eCy2NRNvuz,2RQXRUsr4IW1f3mKyKsy4B,Stick Season,0mflMxspEfB0VbI1kyLiAv
Arctic Monkeys,AM,78bpIziExqiI9qztvNFlQu,7Ln80lUS6He07XvHI8qqHH,I Wanna Be Yours,5XeFesFbtLpXzIVDNQP22n
ILLIT,SUPER REAL ME,6irebIc6UO8fN0jl4UlzBS,36cgvBn0aadzOijnjjwqMN,Magnetic,1aKvZDoLGkNMxoRYgkckZG
Mitski,The Land Is Inhospitable and So Are We,2Cn1d2KgbkAqbZCJ1RzdkA,2uYWxilOVlUdk4oV9DvwqK,My Love Mine All Mine,3vkCueOmm7xQDoJ17W1Pm3
leftovermax,love hotel,5lMMC4nIID6IHXNffPt6p3,6V5fHkuCfZknzDBr5Wm7Rj,love hotel,6IwmDRpswDujeciIBTiEOL
Luis R Conriquez,Si No Quieres No,6WkOBnYkj6y5iSr14uhUZF,0pePYDrJGk8gqMRbXrLJC8,Si No Quieres No,1C84d9abZVKWHT2YYpoean
Neton Vega,Si No Quieres No,6WkOBnYkj6y5iSr14uhUZF,6pV5zH2LzjOUHaAvENdMMa,Si No Quieres No,1C84d9abZVKWHT2YYpoean
The Neighbourhood,I Love You.,4xkM0BwLM9H2IUcbYzpcBI,77SW9BnxLY8rJ0RciFqkHh,Sweater Weather,2QjOHCTQ1Jl3zawyYOpxh6
aespa,Supernova,0tlwyPgqwZrymr04EfFyry,6YVMFz59CuY7ngCxTxjpxE,Supernova,351KkakA2YtGEXqSEIIasy
Lord Huron,Strange Trails,4sD1qg4jwTZR4mvR4Iflk5,6ltzsmQQbmdoHHbLZ4ZN25,The Night We Met,3hRV0jL3vUpRrcy398teAU
